TIME,PLAKA,IL,NUTS3,StuQur,StaffDiy,Mosque,Pilgrimage,hedu,kurdpop,growth
2007,51,Nigde,TR713,0.917157355,140.799633,118.1872726,0.198126542,4.252163965,3.198054946,1.134104776
2007,52,Ordu,TR902,0.429963839,233.432903,266.5608065,0.20207734,3.707897135,0.04,11.95571918
2007,53,Rize,TR904,0.959993929,325.68964,325.0572328,0.316711715,4.68499336,0.06,6.662522689
2007,54,Sakarya,TR422,0.542969414,162.471774,139.8430597,0.372100232,4.188975836,2.82,8.325986357
2007,55,Samsun,TR831,0.532401813,217.501153,209.6896642,0.263634134,4.647080261,0.58,9.446495965
2007,56,Siirt,TRC34,0.409909168,165.335748,356.7410335,0.147305423,2.814340782,78.78,9.495300849
2007,57,Sinop,TR823,0.41479346,477.28968,641.5942584,0.134828176,4.433414046,0.8,6.500805108
2007,58,Sivas,TR722,0.530178679,205.023306,82.07197273,0.235756517,4.425798023,11.72,6.113675014
2007,59,Tekirdag,TR211,0.063564325,69.467707,63.15246102,0.147349397,5.544426018,3.3,2.810601297
2007,60,Tokat,TR832,0.501512755,191.067821,179.3073228,0.255630942,3.193588331,1.71,5.421174914
2007,61,Trabzon,TR901,0.859744332,271.68299,247.7824484,0.308373842,6.031399491,0.04,8.739787628
2007,62,Tunceli,TRB14,0.216609935,149.960725,114.2557902,0.072006179,4.938093691,55.9,3.266564331
2007,63,Sanliurfa,TRC21,0.150942257,64.867747,91.65523712,0.144096671,2.097014019,47.84,2.228820075
2007,64,Usak,TR334,0.301991829,169.103452,157.4308247,0.24759316,4.536940288,0.21,3.54300859
2007,65,Van,TRB21,0.162299384,102.38131,121.4693504,0.137302262,2.375459976,70.7,7.37303783
2007,66,Yozgat,TR723,0.870303804,196.900394,187.9596121,0.244126648,3.142235097,2.25,3.516568801
2007,67,Zonguldak,TR811,0.444072805,199.386254,227.9627856,0.183637365,4.713300566,0.156532961,10.13157828
2007,68,Aksaray,TR712,0.556118533,141.487918,150.7747693,0.230329003,3.565657386,2.039009435,7.193977262
2007,69,Bayburt,TRA13,1.407145375,317.195108,297.6151627,0.244821158,3.607167464,1.922517996,7.26844324
2007,70,Karaman,TR522,0.512720693,218.536689,210.1314317,0.280040981,4.274763168,3.333254975,1.63450484
2007,71,Kirikkale,TR711,0.275840904,145.592612,98.84596444,0.283910802,4.647208246,3.093698455,11.69414713
2007,72,Batman,TRC32,0.382444385,104.553141,113.6539206,0.161894738,2.570821244,78.23837482,7.517274245
2007,73,Sirnak,TRC33,0.06129793,103.60552,99.75937558,0.069310077,2.280352126,77.92833683,5.16437788
2007,74,Bartin,TR813,0.556742125,323.942657,409.046236,0.147198425,3.878598638,0.083397332,5.585084737
2007,75,Ardahan,TRA24,0.332679802,221.786535,232.4322886,0.078410365,2.909014325,19.02,11.31572731
2007,76,Igdir,TRA23,0.216643023,67.632213,109.9710776,1.308117118,3.178022463,31.66552881,8.807398742
2007,77,Yalova,TR425,0.471506069,105.634965,73.17422067,0.245927186,6.449231997,5.283210601,8.947683409
2007,78,Karabuk,TR812,1.049605654,373.976371,395.9480553,0.377137795,5.399374817,0.181224001,9.117562309
2007,79,Kilis,TRC13,0.26085415,177.279519,281.1146661,0.290152746,3.457897563,2.075244524,8.453846305
2007,80,Osmaniye,TR633,0.634826002,115.041512,107.9756227,0.141261196,4.554186302,4.960681244,6.30762213
2007,81,Duzce,TR423,0.834446754,232.581156,202.5806611,0.370825984,4.122370731,0.519780812,8.783681656
2011,1,Adana,TR621,0.249667466,72.078737,59.98658008,0.424444231,9.67,11.30618392,8.05075698
2011,2,Adiyaman,TRC12,0.428332584,130.823277,119.0373966,0.351904282,6.44,43.69,13.19107133
2011,3,Afyon,TR332,0.584289734,196.671753,157.5950509,0.786098307,7.13,0.02,9.666985559
2011,4,Agri,TRA21,0.188125924,123.677043,151.7609127,0.240570733,4.71,70.45,13.04539581
2011,5,Amasya,TR834,0.874399141,273.307767,207.689141,0.673115959,9.01,0.76,6.638329623
2011,6,Ankara,TR510,0.438140847,87.386905,57.59684377,0.809621539,17.43,7.131934194,5.578483832
2011,7,Antalya,TR611,0.30452923,105.799806,102.6189612,0.373559371,11.9,3.22,8.672511813
2011,8,Artvin,TR905,0.452540356,414.678414,408.6685818,0.488837427,8.99,0.02,6.617932963
2011,9,Aydin,TR321,0.241402054,133.411666,110.8928173,0.277836269,9.75,4.07,8.565859361
2011,10,Balikesir,TR221,0.393913614,178.894131,142.335621,0.603329787,9.78,2.48,6.25232359
2011,11,Bilecik,TR413,0.497917576,231.053378,201.1292673,0.779964271,9.45,3.93,6.287412728
2011,12,Bingol,TRB13,0.329440295,184.547572,212.0009304,0.397695185,6.13,76.63,14.90614357
2011,13,Bitlis,TRB23,0.32410048,202.599933,205.8676743,0.278109502,6.27,64.03,15.04789011
2011,14,Bolu,TR424,0.658213565,451.346445,439.411803,0.919974464,10,0.720901923,7.355670593
2011,15,Burdur,TR613,0.816678442,255.062329,205.1675069,0.73326966,9.26,0.2,6.527339263
2011,16,Bursa,TR411,0.256398075,89.475387,62.06341629,0.701027539,10.25,4.47,8.96770809
2011,17,Canakkale,TR222,0.306098326,200.022613,164.252896,0.646348706,10.29,0.13,11.35381569
2011,18,Cankiri,TR822,0.776475501,426.045787,375.2588722,0.931209603,7.24,1.309201459,7.336394634
